dataset,modo,threads,schedule,chunk,block,rep,iters,sse_final,time_ms,median_ms,h2d_ms,kernel_ms,d2h_ms,total_ms
g,omp,16,dynamic,NA,NA,2,3,333373.975493,122.106,NA,NA,NA,NA,NA
g,omp,16,dynamic,NA,NA,3,3,333373.975493,129.691,NA,NA,NA,NA,NA
g,omp,16,dynamic,NA,NA,4,3,333373.975493,128.590,NA,NA,NA,NA,NA
g,omp,16,dynamic,NA,NA,5,3,333373.975493,134.522,NA,NA,NA,NA,NA
g,omp,16,dynamic,NA,NA,0,NA,NA,NA,128.590,NA,NA,NA,NA
p,omp,1,static,1,NA,1,3,3307.377030,0.125,NA,NA,NA,NA,NA
p,omp,1,static,1,NA,2,3,3307.377030,0.132,NA,NA,NA,NA,NA
p,omp,1,static,1,NA,3,3,3307.377030,0.130,NA,NA,NA,NA,NA
p,omp,1,static,1,NA,4,3,3307.377030,0.140,NA,NA,NA,NA,NA
p,omp,1,static,1,NA,5,3,3307.377030,0.131,NA,NA,NA,NA,NA
p,omp,1,static,1,NA,0,NA,NA,NA,0.131,NA,NA,NA,NA
p,omp,2,static,1,NA,1,3,3307.377030,1.046,NA,NA,NA,NA,NA
p,omp,2,static,1,NA,2,3,3307.377030,0.890,NA,NA,NA,NA,NA
p,omp,2,static,1,NA,3,3,3307.377030,1.664,NA,NA,NA,NA,NA
p,omp,2,static,1,NA,4,3,3307.377030,0.886,NA,NA,NA,NA,NA
p,omp,2,static,1,NA,5,3,3307.377030,0.935,NA,NA,NA,NA,NA
p,omp,2,static,1,NA,0,NA,NA,NA,0.935,NA,NA,NA,NA
p,omp,4,static,1,NA,1,3,3307.377030,0.744,NA,NA,NA,NA,NA
p,omp,4,static,1,NA,2,3,3307.377030,0.635,NA,NA,NA,NA,NA
p,omp,4,static,1,NA,3,3,3307.377030,0.793,NA,NA,NA,NA,NA
p,omp,4,static,1,NA,4,3,3307.377030,0.799,NA,NA,NA,NA,NA
p,omp,4,static,1,NA,5,3,3307.377030,0.766,NA,NA,NA,NA,NA
p,omp,4,static,1,NA,0,NA,NA,NA,0.766,NA,NA,NA,NA
p,omp,8,static,1,NA,1,3,3307.377030,0.774,NA,NA,NA,NA,NA
p,omp,8,static,1,NA,2,3,3307.377030,0.871,NA,NA,NA,NA,NA
p,omp,8,static,1,NA,3,3,3307.377030,0.872,NA,NA,NA,NA,NA
p,omp,8,static,1,NA,4,3,3307.377030,1.023,NA,NA,NA,NA,NA
p,omp,8,static,1,NA,5,3,3307.377030,0.903,NA,NA,NA,NA,NA
p,omp,8,static,1,NA,0,NA,NA,NA,0.872,NA,NA,NA,NA
p,omp,16,static,1,NA,1,3,3307.377030,1.339,NA,NA,NA,NA,NA
p,omp,16,static,1,NA,2,3,3307.377030,46.337,NA,NA,NA,NA,NA
p,omp,16,static,1,NA,3,3,3307.377030,39.721,NA,NA,NA,NA,NA
p,omp,16,static,1,NA,4,3,3307.377030,39.376,NA,NA,NA,NA,NA
p,omp,16,static,1,NA,5,3,3307.377030,39.502,NA,NA,NA,NA,NA
p,omp,16,static,1,NA,0,NA,NA,NA,39.502,NA,NA,NA,NA
p,omp,1,static,64,NA,1,3,3307.377030,0.192,NA,NA,NA,NA,NA
p,omp,1,static,64,NA,2,3,3307.377030,0.123,NA,NA,NA,NA,NA
p,omp,1,static,64,NA,3,3,3307.377030,0.126,NA,NA,NA,NA,NA
p,omp,1,static,64,NA,4,3,3307.377030,0.124,NA,NA,NA,NA,NA
p,omp,1,static,64,NA,5,3,3307.377030,0.128,NA,NA,NA,NA,NA
p,omp,1,static,64,NA,0,NA,NA,NA,0.126,NA,NA,NA,NA
p,omp,2,static,64,NA,1,3,3307.377030,0.822,NA,NA,NA,NA,NA
p,omp,2,static,64,NA,2,3,3307.377030,0.818,NA,NA,NA,NA,NA
p,omp,2,static,64,NA,3,3,3307.377030,0.781,NA,NA,NA,NA,NA
p,omp,2,static,64,NA,4,3,3307.377030,0.763,NA,NA,NA,NA,NA
p,omp,2,static,64,NA,5,3,3307.377030,0.732,NA,NA,NA,NA,NA
p,omp,2,static,64,NA,0,NA,NA,NA,0.781,NA,NA,NA,NA
p,omp,4,static,64,NA,1,3,3307.377030,0.427,NA,NA,NA,NA,NA
p,omp,4,static,64,NA,2,3,3307.377030,0.542,NA,NA,NA,NA,NA
p,omp,4,static,64,NA,3,3,3307.377030,0.567,NA,NA,NA,NA,NA
p,omp,4,static,64,NA,4,3,3307.377030,0.728,NA,NA,NA,NA,NA
p,omp,4,static,64,NA,5,3,3307.377030,0.854,NA,NA,NA,NA,NA
p,omp,4,static,64,NA,0,NA,NA,NA,0.567,NA,NA,NA,NA
p,omp,8,static,64,NA,1,3,3307.377030,0.641,NA,NA,NA,NA,NA
p,omp,8,static,64,NA,2,3,3307.377030,0.837,NA,NA,NA,NA,NA
p,omp,8,static,64,NA,3,3,3307.377030,0.755,NA,NA,NA,NA,NA
p,omp,8,static,64,NA,4,3,3307.377030,0.686,NA,NA,NA,NA,NA
p,omp,8,static,64,NA,5,3,3307.377030,0.776,NA,NA,NA,NA,NA
p,omp,8,static,64,NA,0,NA,NA,NA,0.755,NA,NA,NA,NA
p,omp,16,static,64,NA,1,3,3307.377030,39.787,NA,NA,NA,NA,NA
p,omp,16,static,64,NA,2,3,3307.377030,1.076,NA,NA,NA,NA,NA
p,omp,16,static,64,NA,3,3,3307.377030,40.489,NA,NA,NA,NA,NA
p,omp,16,static,64,NA,4,3,3307.377030,40.123,NA,NA,NA,NA,NA
p,omp,16,static,64,NA,5,3,3307.377030,41.059,NA,NA,NA,NA,NA
p,omp,16,static,64,NA,0,NA,NA,NA,40.123,NA,NA,NA,NA
p,omp,1,static,256,NA,1,3,3307.377030,0.125,NA,NA,NA,NA,NA
p,omp,1,static,256,NA,2,3,3307.377030,0.120,NA,NA,NA,NA,NA
p,omp,1,static,256,NA,3,3,3307.377030,0.145,NA,NA,NA,NA,NA
p,omp,1,static,256,NA,4,3,3307.377030,0.128,NA,NA,NA,NA,NA
p,omp,1,static,256,NA,5,3,3307.377030,0.126,NA,NA,NA,NA,NA
p,omp,1,static,256,NA,0,NA,NA,NA,0.126,NA,NA,NA,NA
p,omp,2,static,256,NA,1,3,3307.377030,0.725,NA,NA,NA,NA,NA
p,omp,2,static,256,NA,2,3,3307.377030,0.707,NA,NA,NA,NA,NA
p,omp,2,static,256,NA,3,3,3307.377030,0.746,NA,NA,NA,NA,NA
p,omp,2,static,256,NA,4,3,3307.377030,0.667,NA,NA,NA,NA,NA
p,omp,2,static,256,NA,5,3,3307.377030,0.762,NA,NA,NA,NA,NA
p,omp,2,static,256,NA,0,NA,NA,NA,0.725,NA,NA,NA,NA
p,omp,4,static,256,NA,1,3,3307.377030,0.548,NA,NA,NA,NA,NA
p,omp,4,static,256,NA,2,3,3307.377030,0.526,NA,NA,NA,NA,NA
p,omp,4,static,256,NA,3,3,3307.377030,0.722,NA,NA,NA,NA,NA
p,omp,4,static,256,NA,4,3,3307.377030,0.681,NA,NA,NA,NA,NA
p,omp,4,static,256,NA,5,3,3307.377030,0.413,NA,NA,NA,NA,NA
p,omp,4,static,256,NA,0,NA,NA,NA,0.548,NA,NA,NA,NA
p,omp,8,static,256,NA,1,3,3307.377030,0.757,NA,NA,NA,NA,NA
p,omp,8,static,256,NA,2,3,3307.377030,0.692,NA,NA,NA,NA,NA
p,omp,8,static,256,NA,3,3,3307.377030,0.682,NA,NA,NA,NA,NA
p,omp,8,static,256,NA,4,3,3307.377030,0.650,NA,NA,NA,NA,NA
p,omp,8,static,256,NA,5,3,3307.377030,0.724,NA,NA,NA,NA,NA
p,omp,8,static,256,NA,0,NA,NA,NA,0.692,NA,NA,NA,NA
p,omp,16,static,256,NA,1,3,3307.377030,46.742,NA,NA,NA,NA,NA
p,omp,16,static,256,NA,2,3,3307.377030,39.506,NA,NA,NA,NA,NA
p,omp,16,static,256,NA,3,3,3307.377030,45.673,NA,NA,NA,NA,NA
p,omp,16,static,256,NA,4,3,3307.377030,46.467,NA,NA,NA,NA,NA
p,omp,16,static,256,NA,5,3,3307.377030,39.311,NA,NA,NA,NA,NA
p,omp,16,static,256,NA,0,NA,NA,NA,45.673,NA,NA,NA,NA
p,omp,1,static,1024,NA,1,3,3307.377030,0.128,NA,NA,NA,NA,NA
p,omp,1,static,1024,NA,2,3,3307.377030,0.125,NA,NA,NA,NA,NA
p,omp,1,static,1024,NA,3,3,3307.377030,0.123,NA,NA,NA,NA,NA
p,omp,1,static,1024,NA,4,3,3307.377030,0.120,NA,NA,NA,NA,NA
p,omp,1,static,1024,NA,5,3,3307.377030,0.122,NA,NA,NA,NA,NA
p,omp,1,static,1024,NA,0,NA,NA,NA,0.123,NA,NA,NA,NA
p,omp,2,static,1024,NA,1,3,3307.377030,0.739,NA,NA,NA,NA,NA
p,omp,2,static,1024,NA,2,3,3307.377030,0.570,NA,NA,NA,NA,NA
p,omp,2,static,1024,NA,3,3,3307.377030,0.554,NA,NA,NA,NA,NA
p,omp,2,static,1024,NA,4,3,3307.377030,0.558,NA,NA,NA,NA,NA
p,omp,2,static,1024,NA,5,3,3307.377030,0.963,NA,NA,NA,NA,NA
p,omp,2,static,1024,NA,0,NA,NA,NA,0.570,NA,NA,NA,NA
p,omp,4,static,1024,NA,1,3,3307.377030,0.604,NA,NA,NA,NA,NA
p,omp,4,static,1024,NA,2,3,3307.377030,0.689,NA,NA,NA,NA,NA
p,omp,4,static,1024,NA,3,3,3307.377030,0.648,NA,NA,NA,NA,NA
p,omp,4,static,1024,NA,4,3,3307.377030,0.496,NA,NA,NA,NA,NA
p,omp,4,static,1024,NA,5,3,3307.377030,0.649,NA,NA,NA,NA,NA
p,omp,4,static,1024,NA,0,NA,NA,NA,0.648,NA,NA,NA,NA
p,omp,8,static,1024,NA,1,3,3307.377030,0.679,NA,NA,NA,NA,NA
p,omp,8,static,1024,NA,2,3,3307.377030,0.668,NA,NA,NA,NA,NA
